Last,First,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO
Bell,Buddy,34,155,655,568,89,158,29,3,20,75,2,8,73,49
Bell,George,26,159,690,641,101,198,38,6,31,108,7,8,41,62
Bell,Jay,20,5,16,14,3,5,2,0,1,4,0,0,2,3
Bell,Terry,23,8,5,3,0,0,0,0,0,0,0,0,2,1
Belliard,Rafael,24,117,350,309,33,72,5,2,0,31,12,2,26,54
Benedict,Bruce,30,64,183,160,11,36,10,1,0,13,1,0,15,10
Beniquez,Juan,36,113,395,343,48,103,15,0,6,36,2,3,40,49
Berenguer,Juan,31,46,10,7,0,1,0,0,0,0,0,0,0,1
Berenyi,Bruce,31,14,12,11,0,0,0,0,0,0,0,0,0,3
Bergman,Dave,33,65,151,130,14,30,6,1,1,9,0,0,21,16
Bernazard,Tony,29,146,636,562,88,169,28,4,17,73,17,8,53,77
Berra,Dale,29,42,121,108,10,25,7,0,2,13,0,0,9,14
Biancalana,Buddy,26,100,209,190,24,46,4,4,2,8,5,1,15,50
Bielecki,Mike,26,31,54,48,3,3,0,0,0,1,0,0,2,26
Bilardello,Dann,27,79,212,191,12,37,5,0,4,17,1,0,14,32
Bittiger,Jeff,24,3,4,3,1,1,0,0,1,1,0,0,0,1
Blue,Vida,36,28,53,43,3,4,1,0,1,3,0,0,6,20
Bochte,Bruce,35,125,473,407,57,104,13,1,6,43,3,2,65,68
Bochy,Bruce,31,63,142,127,16,32,9,0,8,22,1,0,14,23
Bockus,Randy,25,6,1,1,0,0,0,0,0,0,0,0,0,1
Boever,Joe,25,11,2,2,0,1,0,0,0,0,0,0,0,0
Boggs,Wade,28,149,693,580,107,207,47,2,8,71,0,4,105,44
Bonds,Barry,21,113,484,413,72,92,26,3,16,48,36,7,65,102
Bonilla,Juan,30,102,316,284,33,69,10,1,1,18,0,0,25,21
Bonilla,Bobby,23,138,496,426,55,109,16,4,3,43,8,5,62,88
Bonnell,Barry,32,17,53,51,4,10,2,0,0,4,0,1,1,13
Booker,Greg,26,9,0,0,0,0,0,0,0,0,0,0,0,0
Boone,Bob,38,144,503,442,48,98,12,2,7,49,1,0,43,30
Bosley,Thad,29,87,139,120,15,33,4,1,1,9,3,0,18,24
Boston,Daryl,23,56,224,199,29,53,11,3,5,22,9,5,21,33
Bradley,Phil,27,143,615,526,88,163,27,4,12,50,21,12,77,134
Bradley,Scott,26,77,241,220,20,66,8,3,5,28,1,2,13,7
Braggs,Glenn,23,58,232,215,19,51,8,2,4,18,1,1,11,47
Brantley,Mickey,25,27,113,102,12,20,3,2,3,7,1,1,10,21
Bream,Sid,25,154,591,522,73,140,37,5,16,77,13,7,60,73
Brenly,Bob,32,149,560,472,60,116,26,0,16,62,10,6,74,97
Brett,George,33,124,529,441,70,128,28,4,16,73,1,2,80,45
Brewer,Mike,26,12,20,18,0,3,1,0,0,0,0,1,2,6
Brock,Greg,29,115,367,325,33,76,13,0,16,52,2,5,37,60
Brookens,Tom,32,98,310,281,42,76,11,2,3,25,11,8,20,42
Brooks,Hubie,29,80,338,306,50,104,18,5,14,58,4,2,25,60
Brower,Bob,26,21,9,9,3,1,1,0,0,0,1,2,0,3
Brown,Chris,24,116,463,416,57,132,16,3,7,49,13,9,33,43
Brown,Curt,26,6,1,1,0,0,0,0,0,0,0,0,0,0
Brown,Mike,26,87,273,243,18,53,7,0,4,26,2,3,27,32
Browne,Jerry,20,12,25,24,6,10,2,0,0,3,0,2,1,4
Browning,Tom,26,46,94,86,9,14,0,0,0,3,1,0,1,25
Brunansky,Tom,25,157,655,593,69,152,28,1,23,75,12,4,53,98
Bryant,Ralph,25,27,82,75,15,19,4,2,6,13,0,1,5,25
Buckner,Bill,36,153,681,629,73,168,39,2,18,102,6,4,40,25
Buechele,Steve,24,153,513,461,54,112,19,2,18,54,5,8,35,98
Bullock,Eric,26,6,21,21,0,1,0,0,0,1,2,0,0,3
Burke,Tim,27,68,9,7,0,0,0,0,0,1,0,0,1,2
Burleson,Rick,35,93,312,271,35,77,14,0,5,29,1,3,33,32
Burris,Ray,35,23,27,27,0,4,3,0,0,7,0,0,0,9
Bush,Randy,27,130,402,357,50,96,19,7,7,45,5,3,39,63
Butera,Sal,33,56,137,113,14,27,6,1,2,16,0,0,21,10
Butler,Brett,29,161,683,587,92,163,17,14,4,51,32,15,70,65
Cabell,Enos,36,107,298,277,27,71,11,0,2,29,10,4,14,26
Calderon,Ivan,24,50,174,164,16,41,7,1,2,15,3,1,9,39
Calhoun,Jeff,28,20,0,0,0,0,0,0,0,0,0,0,0,0
Campbell,Bill,37,1,0,0,0,0,0,0,0,0,0,0,0,0
Candaele,Casey,25,30,110,104,9,24,4,1,0,6,3,5,5,15
Cangelosi,John,23,137,525,438,65,103,16,3,2,32,50,17,71,61
Canseco,Jose,21,157,682,600,85,144,29,1,33,117,15,7,65,175
Carlton,Steve,41,22,47,45,4,9,1,0,1,8,0,0,1,7
Carman,Don,26,50,33,31,0,0,0,0,0,0,0,0,0,11
Carter,Gary,32,132,573,490,81,125,14,2,24,105,1,0,62,63
Carter,Joe,26,162,709,663,108,200,36,9,29,121,29,7,32,95
Castillo,Carmelo,28,85,217,205,34,57,9,0,8,32,2,1,9,48
Castillo,Juan,24,26,62,54,6,9,0,1,0,5,1,1,5,12
Cedeno,Cesar,35,37,87,78,5,18,2,1,0,6,1,1,7,13
Cerone,Rick,32,68,242,216,22,56,14,0,4,18,1,1,15,28
Cey,Ron,38,97,306,256,42,70,21,0,13,36,0,0,44,66
Chambliss,Chris,37,97,138,122,13,38,8,0,2,14,0,2,15,24
Childress,Rocky,24,2,0,0,0,0,0,0,0,0,0,0,0,0
Christmas,Steve,28,3,9,9,0,1,1,0,0,2,0,0,0,1
Clark,Jack,30,65,280,232,34,55,12,2,9,23,1,1,45,61
Clark,Dave,23,18,68,58,10,16,1,0,3,9,1,0,7,11
Clark,Will,22,111,458,408,66,117,27,2,11,41,4,7,34,76
Clements,Pat,24,65,6,6,0,0,0,0,0,0,0,0,0,3
Cochrane,Dave,23,19,68,62,4,12,2,0,1,2,0,0,5,22
Coleman,Vince,24,154,670,600,94,139,13,8,0,29,107,14,60,98
Coles,Darnell,24,142,587,521,67,142,30,2,20,86,6,2,45,84
Collins,Dave,33,124,476,419,44,113,18,2,1,27,27,12,44,49
Concepcion,Dave,38,90,346,311,42,81,13,2,3,30,13,2,26,43
Conroy,Tim,26,26,40,29,2,4,2,0,0,6,0,0,3,11
Cooper,Cecil,36,134,589,542,46,140,24,1,12,75,1,2,41,87
Corbett,Doug,33,1,0,0,0,0,0,0,0,0,0,0,0,0
Corcoran,Tim,33,6,9,7,1,0,0,0,0,0,0,0,2,0
Cotto,Henry,25,35,83,80,11,17,3,0,1,6,3,0,2,17
Cowens,Al,34,28,87,82,5,15,4,0,0,6,1,0,3,18
Cowley,Joe,27,1,0,0,0,0,0,0,0,0,0,0,0,0
Cox,Danny,26,32,83,65,2,5,2,0,0,2,0,0,2,32
Craig,Rod,28,10,12,10,3,2,0,0,0,0,0,0,2,2
Cruz,Julio,31,81,256,209,38,45,2,0,0,19,7,2,42,28
Cruz,Jose,38,141,536,479,48,133,22,4,10,72,3,4,55,86
Daniels,Kal,22,74,207,181,34,58,10,4,6,23,15,2,22,30
Darling,Ron,25,34,94,81,4,8,2,0,0,0,0,0,3,29
Darwin,Danny,30,12,18,16,0,1,0,0,0,0,0,0,0,12
Daulton,Darren,24,49,181,138,18,31,4,0,8,21,2,3,38,41
David,Andre,28,5,6,5,0,1,0,0,0,0,0,0,0,2
Davidson,Mark,25,36,77,68,5,8,3,0,0,2,2,3,6,22
Davis,Eric,24,132,487,415,97,115,15,3,27,71,80,11,68,100
Davis,Glenn,25,158,654,574,91,152,32,3,31,101,3,1,64,72
Davis,Jody,29,148,581,528,61,132,27,2,21,74,0,1,41,110
Davis,Ron,30,18,2,2,0,0,0,0,0,0,0,0,0,2
Davis,Chili,26,153,618,526,71,146,28,3,13,70,16,13,84,96
Davis,Alvin,25,135,562,479,66,130,18,1,18,72,0,3,76,68
Davis,Mark,25,67,8,8,0,1,1,0,0,0,0,0,0,4
Davis,Mike,27,142,533,489,77,131,28,3,19,55,27,4,34,91
Davis,Trench,25,15,24,23,2,3,0,0,0,1,0,0,0,4
Dawley,Bill,28,1,2,2,0,0,0,0,0,0,0,0,0,0
Dawson,Andre,31,130,546,496,65,141,32,2,20,78,18,12,37,79
Dayett,Brian,29,24,76,67,7,18,4,0,4,11,0,1,6,10
Dayley,Ken,27,32,6,5,0,1,0,0,0,0,0,0,1,2
de Jesus,Ivan,33,7,5,4,1,0,0,0,0,0,0,0,1,1
DeCinces,Doug,35,140,572,512,69,131,20,3,26,96,2,2,52,74
Dedmon,Jeff,26,57,17,16,2,2,0,0,0,1,0,0,0,7
Deer,Rob,25,134,546,466,75,108,17,3,33,86,5,2,72,179
DeLeon,Jose,25,9,2,1,0,0,0,0,0,0,0,0,0,1
Dempsey,Rick,36,122,382,327,42,68,15,1,13,29,1,0,45,78
Denny,John,33,27,62,54,6,12,0,0,0,4,2,3,3,15
Dernier,Bob,29,108,351,324,32,73,14,1,4,18,27,2,22,41
Deshaies,Jim,26,26,53,43,3,2,0,0,0,1,0,0,6,31
Diaz,Bo,33,134,519,474,50,129,21,0,10,56,1,1,40,52
Diaz,Carlos,28,19,1,1,0,0,0,0,0,0,0,0,0,0
Diaz,Edgar,22,5,14,13,0,3,0,0,0,0,0,0,1,3
Diaz,Mike,26,97,233,209,22,56,9,0,12,36,0,1,19,43
DiPino,Frank,29,61,6,6,0,1,0,0,0,0,0,0,0,2
Distefano,Benny,24,31,42,39,3,7,1,0,1,5,0,0,1,5
Dodd,Tom,27,8,16,13,1,3,0,0,1,2,0,0,2,2
Dodson,Pat,26,9,15,12,3,5,2,0,1,3,0,0,3,3
Doran,Bill,28,145,642,550,92,152,29,3,6,37,42,19,81,57
Downing,Brian,35,152,631,513,90,137,27,4,20,95,4,4,90,84
Downs,Kelly,25,15,30,29,1,5,0,0,0,0,0,1,1,13
Dravecky,Dave,30,35,57,50,3,7,0,0,1,7,1,0,1,16
Driessen,Dan,34,32,49,40,7,10,3,0,1,3,0,0,9,6
Duncan,Mariano,23,109,445,407,47,93,7,0,8,30,48,13,30,78
Dunston,Shawon,23,150,611,581,66,145,37,3,17,68,13,11,21,114
Durham,Leon,28,141,557,484,66,127,18,7,20,65,8,7,67,98
Dwyer,Jim,36,94,189,160,18,39,13,1,8,31,0,2,23,31
Dykstra,Lenny,23,147,498,431,77,127,27,7,8,45,31,7,58,55
Earley,Bill,30,3,0,0,0,0,0,0,0,0,0,0,0,0
Easler,Mike,35,146,546,490,64,148,26,2,14,78,3,2,49,87
Eckersley,Dennis,31,33,73,69,7,11,3,0,2,10,0,0,1,34
Eichhorn,Mark,25,1,0,0,0,0,0,0,0,0,0,0,0,0
Elster,Kevin,21,19,33,30,3,5,1,0,0,0,0,0,3,8
Engle,Dave,29,35,93,86,6,22,7,0,0,4,0,0,7,13
Esasky,Nick,26,102,383,330,35,76,17,2,12,41,0,2,47,97
Espino,Juan,30,27,40,37,1,6,2,0,0,5,0,0,2,9
Espinoza,Alvaro,24,37,45,42,4,9,1,0,0,1,0,1,1,10
Evans,Dwight,34,152,640,529,86,137,33,2,26,97,3,3,97,117
Evans,Darrell,39,151,601,507,78,122,15,0,29,85,3,2,91,105
Fansler,Stan,21,5,7,6,0,1,0,0,0,0,0,0,0,2
Felder,Mike,24,44,174,155,24,37,2,4,1,13,16,2,13,16
Fernandez,Tony,24,163,727,687,91,213,33,9,10,65,25,12,27,52
Fernandez,Sid,23,32,77,68,6,11,3,0,0,4,1,0,3,23
Fielder,Cecil,22,34,90,83,7,13,2,0,4,13,0,0,6,27
Fields,Bruce,25,16,47,43,4,12,1,1,0,6,1,1,1,6
Fimple,Jack,27,13,20,13,2,1,0,0,0,2,0,0,6,6
Finley,Chuck,23,2,0,0,0,0,0,0,0,0,0,0,0,0
Fischlin,Mike,30,71,116,102,9,21,2,0,0,3,0,1,8,29
Fisk,Carlton,38,125,491,457,42,101,11,0,14,63,2,4,22,92
Fitzgerald,Mike,25,73,243,209,20,59,13,1,6,37,3,2,27,34
Flannery,Tim,28,134,432,368,48,103,11,2,3,28,3,6,54,61
Fletcher,Scott,27,147,594,530,82,159,34,5,3,50,12,11,47,59
Foley,Tom,26,103,299,263,26,70,15,3,1,23,10,3,30,37
Fontenot,Ray,28,43,7,7,1,1,0,0,0,0,0,0,0,6
Ford,Curt,25,85,240,214,30,53,15,2,2,29,13,5,23,29
Forsch,Bob,36,34,88,76,7,13,4,1,2,12,0,0,0,24
Forster,Terry,34,1,0,0,0,0,0,0,0,0,0,0,0,0
Foster,George,37,87,310,284,30,64,6,3,14,42,1,1,24,61
Franco,Julio,27,149,636,599,80,183,30,5,10,74,10,7,32,66
Franco,John,25,74,4,4,0,0,0,0,0,0,0,0,0,0
Francona,Terry,27,86,133,124,13,31,3,0,2,8,0,1,6,8
Frazier,George,31,35,4,4,0,0,0,0,0,0,0,0,0,2
Freeman,Marvin,23,3,7,6,0,0,0,0,0,0,0,0,0,3
Funk,Tom,24,8,1,1,0,0,0,0,0,0,0,0,0,1
Gaetti,Gary,27,157,661,596,91,171,34,1,34,108,14,15,52,108
Gagne,Greg,24,156,524,472,63,118,22,6,12,54,12,10,30,108
Gainey,Ty,25,26,56,50,6,15,3,1,1,6,3,1,6,19
Galarraga,Andres,25,105,356,321,39,87,13,0,10,42,6,5,30,79
Gallego,Mike,25,20,40,37,2,10,2,0,0,4,0,2,1,6
Galvez,Balvino,22,10,2,2,0,0,0,0,0,0,0,0,0,1
Gantner,Jim,33,139,543,497,58,136,25,1,7,38,13,7,26,50
Garber,Gene,38,61,8,6,0,1,0,0,0,0,0,0,1,1
Garcia,Damaso,29,122,446,424,57,119,22,0,6,46,9,6,13,32
Garner,Phil,37,107,347,313,43,83,14,3,9,41,12,6,30,45
Garrelts,Scott,24,54,53,45,6,8,1,0,1,4,1,0,1,25
Garvey,Steve,37,155,584,557,58,142,22,0,21,81,1,2,23,72
Gedman,Rich,26,135,509,462,49,119,29,0,16,65,1,0,37,61
Gerhart,Ken,25,20,75,69,4,16,2,0,1,7,0,1,4,18
Gibbons,John,24,8,22,19,4,9,4,0,1,1,0,0,3,5
Gibson,Kirk,29,119,521,441,84,118,11,2,28,86,34,6,68,107
Giles,Brian,26,9,11,11,0,3,0,0,0,1,0,0,0,2
Gladden,Dan,28,102,402,351,55,97,16,1,4,29,27,10,39,59
Gonzales,Rene,25,11,28,26,1,3,0,0,0,0,0,2,2,7
Gonzalez,Jose,21,57,102,93,15,20,5,1,2,6,4,3,7,29
Gooden,Dwight,21,33,97,81,5,7,0,1,0,4,0,0,2,16
Gorman,Tom,28,8,1,1,0,0,0,0,0,0,0,0,0,0
Gossage,Rich,34,45,7,7,0,0,0,0,0,0,0,0,0,3
Gott,Jim,26,9,4,3,0,0,0,0,0,0,0,0,0,1
Grant,Mark,22,4,2,1,0,0,0,0,0,0,0,0,0,1
Green,Gary,24,13,35,33,2,7,1,0,0,2,0,0,1,11
Greenwell,Mike,22,31,40,35,4,11,2,0,0,4,0,0,5,7
Grich,Bobby,37,98,366,313,42,84,18,0,9,30,1,3,39,54
Griffey,Ken,36,139,532,490,69,150,22,3,21,58,14,9,35,67
Griffin,Alfredo,28,162,649,594,74,169,23,6,4,51,33,16,35,52
Gross,Kevin,25,37,90,80,6,15,4,1,1,5,1,0,1,22
Gross,Greg,33,87,125,101,11,25,5,0,0,8,1,0,21,11
Gross,Wayne,34,3,3,2,0,0,0,0,0,0,0,0,1,0
Grubb,Johnny,37,81,243,210,32,70,13,1,13,51,0,1,28,28
Gruber,Kelly,24,87,152,143,20,28,4,1,5,15,2,5,5,27
Guante,Cecilio,26,52,1,1,0,0,0,0,0,0,0,0,0,1
Guerrero,Pedro,30,31,64,61,7,15,3,0,5,10,0,0,2,19
Guillen,Ozzie,22,159,577,547,58,137,19,4,2,47,8,4,12,52
Gulden,Brad,30,17,24,22,2,2,0,0,0,1,0,0,2,5
Gullickson,Bill,27,37,91,79,3,6,0,0,0,2,0,0,3,15
Gumpert,Dave,28,38,5,5,0,0,0,0,0,0,0,0,0,4
Gutierrez,Jackie,26,61,152,145,8,27,3,0,0,4,3,1,3,27
Gwynn,Tony,26,160,701,642,107,211,33,7,14,59,37,9,52,35
Hairston,Jerry,34,101,253,225,32,61,15,0,5,26,0,0,26,26
Hall,Albert,28,16,57,50,6,12,2,0,0,1,8,3,5,6
Hall,Drew,23,5,8,7,1,1,0,0,0,0,0,0,1,3
Hall,Mel,25,140,480,442,68,131,29,2,18,77,6,2,33,65
Hamilton,Jeff,22,71,151,147,22,33,5,0,5,19,0,0,2,43
Harper,Brian,26,19,41,36,2,5,1,0,0,3,0,0,3,3
Harper,Terry,30,106,298,265,26,68,12,0,8,30,3,6,29,39
Harrah,Toby,37,95,341,289,36,63,18,2,7,41,2,5,44,53
Hassey,Ron,33,113,393,341,45,110,25,1,9,49,1,1,46,27
Hatcher,Billy,25,127,453,419,55,108,15,4,6,36,38,14,22,52
Hatcher,Mickey,31,115,340,317,40,88,13,3,3,32,2,1,19,26
Hawkins,Andy,26,37,74,67,2,10,1,0,0,2,0,0,1,23
Hayes,Von,27,158,690,610,107,186,46,2,19,98,24,12,74,77
Hayward,Ray,25,4,4,4,0,0,0,0,0,0,0,0,0,0
Hearn,Ed,25,49,151,136,16,36,5,0,4,10,0,1,12,19
Hearron,Jeff,24,12,26,23,2,5,1,0,0,4,0,0,3,7
Heath,Mike,31,95,319,288,30,65,11,1,8,36,6,4,27,53
Heep,Danny,28,86,227,195,24,55,8,2,5,33,1,4,30,31
Henderson,Dave,27,139,432,388,59,103,22,4,15,47,2,3,39,110
Henderson,Rickey,27,153,701,608,130,160,31,5,28,74,87,18,89,81
Henderson,Steve,33,11,27,26,2,2,1,0,0,3,0,0,0,5
Hendrick,George,36,102,317,283,45,77,13,1,14,47,1,1,26,41
Hengel,Dave,24,21,66,63,3,12,1,0,1,6,0,0,1,13
Henke,Tom,28,2,0,0,0,0,0,0,0,0,0,0,0,0
Hensley,Chuck,27,11,0,0,0,0,0,0,0,0,0,0,0,0
Hernandez,Leo,26,7,23,22,2,5,2,0,1,4,0,0,1,8
Hernandez,Manny,25,9,7,6,0,0,0,0,0,1,0,0,0,2
Hernandez,Keith,32,149,652,551,94,171,34,1,13,83,2,1,94,69
Hernandez,Willie,31,1,0,0,0,0,0,0,0,0,0,0,0,0
Herndon,Larry,32,106,316,283,33,70,13,1,8,37,2,1,27,40
Herr,Tom,30,152,647,559,48,141,30,4,2,61,22,8,73,75
Hershiser,Orel,27,37,82,71,4,17,3,0,0,8,0,1,1,17
Hesketh,Joe,27,15,28,23,0,0,0,0,0,0,0,0,2,18
Hill,Marc,34,22,21,19,2,3,0,0,0,0,0,0,1,3
Hill,Donnie,25,108,366,339,37,96,16,2,4,29,5,2,23,38
Hoffman,Glenn,27,12,26,23,1,5,2,0,0,1,0,0,2,3
Hoffman,Guy,29,33,20,15,2,1,0,0,0,1,0,0,2,4
Holton,Brian,26,12,5,5,0,0,0,0,0,0,0,0,0,2
Honeycutt,Rick,32,32,57,43,3,3,1,0,0,3,0,0,8,11
Horner,Bob,28,141,581,517,70,141,22,0,27,87,1,4,52,72
Horton,Ricky,26,42,25,18,0,1,0,0,0,0,0,0,5,3
Householder,Paul,27,26,90,78,4,17,3,1,1,16,1,2,7,16
Howell,Jay,30,2,0,0,0,0,0,0,0,0,0,0,0,0
Howell,Ken,25,62,5,5,0,0,0,0,0,0,0,0,0,3
Howell,Jack,24,63,175,151,26,41,14,2,4,21,2,0,19,28
Hoyt,LaMarr,31,35,50,46,3,6,1,0,0,1,0,0,1,18
Hrbek,Kent,26,149,634,550,85,147,27,1,29,91,2,2,71,81
Hubbard,Glenn,28,143,488,408,42,94,16,1,4,36,3,2,66,74
Hudler,Rex,25,14,1,1,1,0,0,0,0,0,1,0,0,0
Hudson,Charles,27,36,51,43,2,2,0,0,0,0,0,0,1,19
Hulett,Tim,26,150,552,520,53,120,16,5,17,44,4,1,21,91
Hume,Tom,33,48,16,11,0,0,0,0,0,0,0,0,0,6
Hunt,Randy,26,21,54,48,4,10,0,0,2,5,0,0,5,16
Hurdle,Clint,28,78,184,154,18,30,5,1,3,15,0,0,26,38
Incaviglia,Pete,22,153,606,540,82,135,21,2,30,88,3,2,55,185
Iorg,Garth,31,137,351,327,30,85,19,1,3,44,3,0,20,47
Iorg,Dane,36,90,109,106,10,24,2,1,2,11,0,0,2,21
Jackson,Bo,23,25,91,82,9,17,2,1,2,9,3,1,7,34
Jackson,Michael,21,9,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,Reggie,40,132,517,419,65,101,12,2,18,58,1,1,92,115
Jacoby,Brook,26,158,641,583,83,168,30,4,17,80,2,1,56,137
James,Bob,27,2,0,0,0,0,0,0,0,0,0,0,0,0
James,Chris,23,16,48,46,5,13,3,0,1,5,0,0,1,13
Javier,Stan,22,59,131,114,13,23,8,0,0,8,8,0,16,27
Jefferson,Stan,23,14,27,24,6,5,1,0,1,3,0,0,2,8
Jeltz,Steve,27,145,510,439,44,96,11,4,0,36,6,3,65,97
Jo Robidoux,Billy,22,56,215,181,15,41,8,0,1,21,0,0,33,36
Johnson,Cliff,38,107,394,336,48,84,12,1,15,55,0,1,52,57
Johnson,Joe,24,17,30,26,2,3,0,0,0,1,0,0,1,12
Johnson,Howard,25,88,253,220,30,54,14,0,10,39,8,1,31,64
Johnson,Rondin,27,11,31,31,1,8,0,1,0,2,0,0,0,3
Johnson,Wallace,29,61,134,127,13,36,3,1,1,10,6,3,7,9
Jones,Barry,23,26,6,5,0,1,0,0,0,1,0,0,0,1
Jones,Jimmy,22,3,6,6,1,1,0,0,0,0,0,0,0,4
Jones,Lynn,33,67,54,47,1,6,2,0,0,1,0,0,6,5
Jones,Ricky,28,16,39,33,2,6,2,0,0,4,0,0,6,8
Jones,Ross,26,11,21,21,0,2,0,0,0,0,0,1,0,4
Jones,Tracy,25,46,96,86,16,30,3,0,2,10,7,1,9,5
Jones,Bob,36,13,23,21,1,2,0,0,0,3,0,0,2,5
Jones,Chris,28,3,1,1,0,0,0,0,0,0,1,0,0,0
Jones,Ruppert,31,126,471,393,73,90,21,3,17,49,10,3,64,87
Joyner,Wally,24,154,674,593,82,172,27,3,22,100,5,2,57,58
Karkovice,Ron,22,37,109,97,13,24,7,0,4,13,1,0,9,37
Kearney,Bob,29,81,226,204,23,49,10,0,6,25,0,2,12,35
Kemp,Steve,31,13,20,16,1,3,0,0,1,1,1,0,4,6
Kennedy,Terry,30,141,476,432,46,114,22,1,12,57,0,3,37,74
Keough,Matt,30,29,16,16,1,6,1,0,0,0,1,0,0,4
Kepshire,Kurt,26,2,2,1,0,0,0,0,0,0,0,0,0,0
Kerfeld,Charlie,22,61,10,9,0,1,0,0,0,1,0,0,1,6
Khalifa,Sam,22,64,173,151,8,28,6,0,0,4,0,2,19,28
Kiefer,Steve,25,2,6,6,0,0,0,0,0,0,0,0,0,4
Kingery,Mike,25,62,223,209,25,54,8,5,3,14,7,3,12,30
Kingman,Dave,37,144,604,561,70,118,19,0,35,94,3,3,33,126
Kipper,Bob,21,21,37,33,0,1,0,0,0,1,0,0,1,11
Kittle,Ron,28,116,422,376,42,82,13,0,21,60,4,1,35,110
Knepper,Bob,32,42,95,91,2,9,2,1,0,1,0,0,0,44
Knicely,Alan,31,34,100,82,8,16,3,0,1,6,1,1,17,21
Knight,Ray,33,137,541,486,51,145,24,2,11,76,2,1,40,63
Knudson,Mark,25,9,14,10,0,0,0,0,0,0,0,0,1,7
Komminsk,Brad,25,5,5,5,1,2,0,0,0,1,0,1,0,1
Krawczyk,Ray,26,12,0,0,0,0,0,0,0,0,0,0,0,0
Krenchicki,Wayne,31,101,247,221,21,53,6,2,2,23,2,4,22,32
Kruk,John,25,122,327,278,33,86,16,2,4,38,2,4,45,58
Krukow,Mike,34,35,98,82,7,12,1,0,0,8,1,0,4,25
Kunkel,Jeff,24,8,13,13,3,3,0,0,1,2,0,0,0,2
Kutcher,Randy,26,71,203,186,28,44,9,1,7,16,6,5,11,41
L Washington,U,32,72,155,135,14,27,0,4,0,10,6,0,15,27
LaCoss,Mike,30,37,69,61,8,14,2,0,2,9,0,0,3,24
Lacy,Lee,38,130,537,491,77,141,18,0,11,47,4,6,37,71
Ladd,Pete,29,1,0,0,0,0,0,0,0,0,0,0,0,0
Laga,Mike,26,33,102,91,13,19,5,0,6,16,0,0,10,31
Lahti,Jeff,29,4,0,0,0,0,0,0,0,0,0,0,0,0
Lake,Steve,29,36,72,68,8,20,2,0,2,14,0,0,3,7
Lancellotti,Rick,29,15,18,18,2,4,0,0,2,6,0,0,0,7
